Age,Gender,O,C,E,A,N,Hassle,Category,Severity
20,Female,44,42,33,37,22,Misplacing or losing things,General Hassles,1
20,Female,44,42,33,37,22,Silly practical mistakes,General Hassles,1
20,Female,44,42,33,37,22,Trouble with pets,General Hassles,2
20,Female,44,42,33,37,22,Difficulties with friends,General Hassles,1
20,Female,44,42,33,37,22,Regrets over past decision/s,Inner Concerns,3
20,Female,44,42,33,37,22,Concerned about the meaning of life,Inner Concerns,5
20,Female,44,42,33,37,22,Being lonely,Inner Concerns,1
20,Female,44,42,33,37,22,Inability to express oneself,Inner Concerns,1
20,Female,44,42,33,37,22,Fear of rejection,Inner Concerns,1
20,Female,44,42,33,37,22,Trouble making decisions,Inner Concerns,1
20,Female,44,42,33,37,22,Physical appearance,Inner Concerns,1
20,Female,44,42,33,37,22,Not seeing people,Inner Concerns,1
20,Female,44,42,33,37,22,Troubling thoughts about one’s future,Inner Concerns,1
20,Female,44,42,33,37,22,Not enough personal energy,Inner Concerns,1
20,Female,44,42,33,37,22,Concerns about getting ahead,Inner Concerns,1
20,Female,44,42,33,37,22,Fear of confrontation,Inner Concerns,1
20,Female,44,42,33,37,22,Wasting time,Inner Concerns,1
20,Female,44,42,33,37,22,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,1
20,Female,44,42,33,37,22,Not enough money for wants (entertainment and recreation),Financial Concerns,1
20,Female,44,42,33,37,22,Concerns about owing money,Financial Concerns,1
20,Female,44,42,33,37,22,Concerns about money for emergencies,Financial Concerns,1
20,Female,44,42,33,37,22,Financial security,Financial Concerns,1
20,Female,44,42,33,37,22,Not enough time to do things one needs to,Time Pressures,1
20,Female,44,42,33,37,22,Too many responsibilities,Time Pressures,1
20,Female,44,42,33,37,22,Not getting enough rest,Time Pressures,1
20,Female,44,42,33,37,22,Too many interruptions,Time Pressures,1
20,Female,44,42,33,37,22,Not enough time for entertainment and recreation,Time Pressures,1
20,Female,44,42,33,37,22,Too many meetings,Time Pressures,1
20,Female,44,42,33,37,22,Social obligations,Time Pressures,1
20,Female,44,42,33,37,22,Concerns about meeting high standards,Time Pressures,1
20,Female,44,42,33,37,22,Noise,Time Pressures,1
20,Female,44,42,33,37,22,Pollution,Environmental Hassles,1
20,Female,44,42,33,37,22,Crime,Environmental Hassles,1
20,Female,44,42,33,37,22,Traffic,Environmental Hassles,2
20,Female,44,42,33,37,22,Concerns about news events,Environmental Hassles,2
20,Female,44,42,33,37,22,Rising prices of common goods,Environmental Hassles,4
20,Female,44,42,33,37,22,Concerns about accidents,Environmental Hassles,5
20,Female,44,42,33,37,22,Yardwork or outside home maintenance,Family Hassles,2
20,Female,44,42,33,37,22,Overloaded with family responsibilities,Family Hassles,1
20,Female,44,42,33,37,22,Home maintenance (inside),Family Hassles,1
20,Female,44,42,33,37,22,Concerns about medical treatment,Health Hassles,3
20,Female,44,42,33,37,22,Physical illness,Health Hassles,1
20,Female,44,42,33,37,22,Side effects of medication,Health Hassles,1
20,Female,44,42,33,37,22,Concerns about health in general,Health Hassles,5
20,Female,44,42,33,37,22,Concerns about bodily functions,Health Hassles,5
20,Female,44,42,33,37,22,Dissatisfaction with academic performance,Academic Hassles,3
20,Female,44,42,33,37,22,Challenges with instructors,Academic Hassles,2
20,Female,44,42,33,37,22,Discontent with current academic responsibilities,Academic Hassles,1
20,Female,44,42,33,37,22,Concerns regarding academic transitions,Academic Hassles,1
20,Female,44,42,33,37,22,Difficulties with peers or classmates,Academic Hassles,1
20,Female,44,42,33,37,22,Challenges in managing group projects,Academic Hassles,1
20,Female,44,42,33,37,22,Getting late to class,Academic Hassles,1
20,Male,34,30,23,28,30,Misplacing or losing things,General Hassles,3
20,Male,34,30,23,28,30,Silly practical mistakes,General Hassles,3
20,Male,34,30,23,28,30,Trouble with pets,General Hassles,1
20,Male,34,30,23,28,30,Difficulties with friends,General Hassles,1
20,Male,34,30,23,28,30,Regrets over past decision/s,Inner Concerns,4
20,Male,34,30,23,28,30,Concerned about the meaning of life,Inner Concerns,5
20,Male,34,30,23,28,30,Being lonely,Inner Concerns,4
20,Male,34,30,23,28,30,Inability to express oneself,Inner Concerns,4
20,Male,34,30,23,28,30,Fear of rejection,Inner Concerns,5
20,Male,34,30,23,28,30,Trouble making decisions,Inner Concerns,4
20,Male,34,30,23,28,30,Physical appearance,Inner Concerns,3
20,Male,34,30,23,28,30,Not seeing people,Inner Concerns,4
20,Male,34,30,23,28,30,Troubling thoughts about one’s future,Inner Concerns,5
20,Male,34,30,23,28,30,Not enough personal energy,Inner Concerns,3
20,Male,34,30,23,28,30,Concerns about getting ahead,Inner Concerns,2
20,Male,34,30,23,28,30,Fear of confrontation,Inner Concerns,3
20,Male,34,30,23,28,30,Wasting time,Inner Concerns,5
20,Male,34,30,23,28,30,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,1
20,Male,34,30,23,28,30,Not enough money for wants (entertainment and recreation),Financial Concerns,1
20,Male,34,30,23,28,30,Concerns about owing money,Financial Concerns,2
20,Male,34,30,23,28,30,Concerns about money for emergencies,Financial Concerns,1
20,Male,34,30,23,28,30,Financial security,Financial Concerns,1
20,Male,34,30,23,28,30,Not enough time to do things one needs to,Time Pressures,4
20,Male,34,30,23,28,30,Too many responsibilities,Time Pressures,3
20,Male,34,30,23,28,30,Not getting enough rest,Time Pressures,4
20,Male,34,30,23,28,30,Too many interruptions,Time Pressures,4
20,Male,34,30,23,28,30,Not enough time for entertainment and recreation,Time Pressures,2
20,Male,34,30,23,28,30,Too many meetings,Time Pressures,3
20,Male,34,30,23,28,30,Social obligations,Time Pressures,4
20,Male,34,30,23,28,30,Concerns about meeting high standards,Time Pressures,4
20,Male,34,30,23,28,30,Noise,Time Pressures,5
20,Male,34,30,23,28,30,Pollution,Environmental Hassles,5
20,Male,34,30,23,28,30,Crime,Environmental Hassles,5
20,Male,34,30,23,28,30,Traffic,Environmental Hassles,5
20,Male,34,30,23,28,30,Concerns about news events,Environmental Hassles,5
20,Male,34,30,23,28,30,Rising prices of common goods,Environmental Hassles,5
20,Male,34,30,23,28,30,Concerns about accidents,Environmental Hassles,4
20,Male,34,30,23,28,30,Yardwork or outside home maintenance,Family Hassles,2
20,Male,34,30,23,28,30,Overloaded with family responsibilities,Family Hassles,1
20,Male,34,30,23,28,30,Home maintenance (inside),Family Hassles,2
20,Male,34,30,23,28,30,Concerns about medical treatment,Health Hassles,4
20,Male,34,30,23,28,30,Physical illness,Health Hassles,2
20,Male,34,30,23,28,30,Side effects of medication,Health Hassles,2
20,Male,34,30,23,28,30,Concerns about health in general,Health Hassles,2
20,Male,34,30,23,28,30,Concerns about bodily functions,Health Hassles,2
20,Male,34,30,23,28,30,Dissatisfaction with academic performance,Academic Hassles,3
20,Male,34,30,23,28,30,Challenges with instructors,Academic Hassles,4
20,Male,34,30,23,28,30,Discontent with current academic responsibilities,Academic Hassles,4
20,Male,34,30,23,28,30,Concerns regarding academic transitions,Academic Hassles,4
20,Male,34,30,23,28,30,Difficulties with peers or classmates,Academic Hassles,1
20,Male,34,30,23,28,30,Challenges in managing group projects,Academic Hassles,3
20,Male,34,30,23,28,30,Getting late to class,Academic Hassles,1
21,Female,39,31,22,30,32,Misplacing or losing things,General Hassles,5
21,Female,39,31,22,30,32,Silly practical mistakes,General Hassles,4
21,Female,39,31,22,30,32,Trouble with pets,General Hassles,5
21,Female,39,31,22,30,32,Difficulties with friends,General Hassles,5
21,Female,39,31,22,30,32,Regrets over past decision/s,Inner Concerns,4
21,Female,39,31,22,30,32,Concerned about the meaning of life,Inner Concerns,3
21,Female,39,31,22,30,32,Being lonely,Inner Concerns,5
21,Female,39,31,22,30,32,Inability to express oneself,Inner Concerns,5
21,Female,39,31,22,30,32,Fear of rejection,Inner Concerns,5
21,Female,39,31,22,30,32,Trouble making decisions,Inner Concerns,4
21,Female,39,31,22,30,32,Physical appearance,Inner Concerns,5
21,Female,39,31,22,30,32,Not seeing people,Inner Concerns,5
21,Female,39,31,22,30,32,Troubling thoughts about one’s future,Inner Concerns,4
21,Female,39,31,22,30,32,Not enough personal energy,Inner Concerns,5
21,Female,39,31,22,30,32,Concerns about getting ahead,Inner Concerns,5
21,Female,39,31,22,30,32,Fear of confrontation,Inner Concerns,4
21,Female,39,31,22,30,32,Wasting time,Inner Concerns,5
21,Female,39,31,22,30,32,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,5
21,Female,39,31,22,30,32,Not enough money for wants (entertainment and recreation),Financial Concerns,5
21,Female,39,31,22,30,32,Concerns about owing money,Financial Concerns,5
21,Female,39,31,22,30,32,Concerns about money for emergencies,Financial Concerns,5
21,Female,39,31,22,30,32,Financial security,Financial Concerns,5
21,Female,39,31,22,30,32,Not enough time to do things one needs to,Time Pressures,5
21,Female,39,31,22,30,32,Too many responsibilities,Time Pressures,5
21,Female,39,31,22,30,32,Not getting enough rest,Time Pressures,5
21,Female,39,31,22,30,32,Too many interruptions,Time Pressures,5
21,Female,39,31,22,30,32,Not enough time for entertainment and recreation,Time Pressures,5
21,Female,39,31,22,30,32,Too many meetings,Time Pressures,5
21,Female,39,31,22,30,32,Social obligations,Time Pressures,4
21,Female,39,31,22,30,32,Concerns about meeting high standards,Time Pressures,5
21,Female,39,31,22,30,32,Noise,Time Pressures,5
21,Female,39,31,22,30,32,Pollution,Environmental Hassles,3
21,Female,39,31,22,30,32,Crime,Environmental Hassles,5
21,Female,39,31,22,30,32,Traffic,Environmental Hassles,5
21,Female,39,31,22,30,32,Concerns about news events,Environmental Hassles,3
21,Female,39,31,22,30,32,Rising prices of common goods,Environmental Hassles,3
21,Female,39,31,22,30,32,Concerns about accidents,Environmental Hassles,4
21,Female,39,31,22,30,32,Yardwork or outside home maintenance,Family Hassles,3
21,Female,39,31,22,30,32,Overloaded with family responsibilities,Family Hassles,5
21,Female,39,31,22,30,32,Home maintenance (inside),Family Hassles,5
21,Female,39,31,22,30,32,Concerns about medical treatment,Health Hassles,5
21,Female,39,31,22,30,32,Physical illness,Health Hassles,5
21,Female,39,31,22,30,32,Side effects of medication,Health Hassles,5
21,Female,39,31,22,30,32,Concerns about health in general,Health Hassles,5
21,Female,39,31,22,30,32,Concerns about bodily functions,Health Hassles,5
21,Female,39,31,22,30,32,Dissatisfaction with academic performance,Academic Hassles,5
21,Female,39,31,22,30,32,Challenges with instructors,Academic Hassles,5
21,Female,39,31,22,30,32,Discontent with current academic responsibilities,Academic Hassles,5
21,Female,39,31,22,30,32,Concerns regarding academic transitions,Academic Hassles,5
21,Female,39,31,22,30,32,Difficulties with peers or classmates,Academic Hassles,5
21,Female,39,31,22,30,32,Challenges in managing group projects,Academic Hassles,5
21,Female,39,31,22,30,32,Getting late to class,Academic Hassles,5
21,Female,39,33,31,31,26,Misplacing or losing things,General Hassles,2
21,Female,39,33,31,31,26,Silly practical mistakes,General Hassles,2
21,Female,39,33,31,31,26,Trouble with pets,General Hassles,1
21,Female,39,33,31,31,26,Difficulties with friends,General Hassles,1
21,Female,39,33,31,31,26,Regrets over past decision/s,Inner Concerns,2
21,Female,39,33,31,31,26,Concerned about the meaning of life,Inner Concerns,1
21,Female,39,33,31,31,26,Being lonely,Inner Concerns,1
21,Female,39,33,31,31,26,Inability to express oneself,Inner Concerns,1
21,Female,39,33,31,31,26,Fear of rejection,Inner Concerns,2
21,Female,39,33,31,31,26,Trouble making decisions,Inner Concerns,1
21,Female,39,33,31,31,26,Physical appearance,Inner Concerns,2
21,Female,39,33,31,31,26,Not seeing people,Inner Concerns,2
21,Female,39,33,31,31,26,Troubling thoughts about one’s future,Inner Concerns,1
21,Female,39,33,31,31,26,Not enough personal energy,Inner Concerns,1
21,Female,39,33,31,31,26,Concerns about getting ahead,Inner Concerns,1
21,Female,39,33,31,31,26,Fear of confrontation,Inner Concerns,1
21,Female,39,33,31,31,26,Wasting time,Inner Concerns,2
21,Female,39,33,31,31,26,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,1
21,Female,39,33,31,31,26,Not enough money for wants (entertainment and recreation),Financial Concerns,1
21,Female,39,33,31,31,26,Concerns about owing money,Financial Concerns,1
21,Female,39,33,31,31,26,Concerns about money for emergencies,Financial Concerns,1
21,Female,39,33,31,31,26,Financial security,Financial Concerns,1
21,Female,39,33,31,31,26,Not enough time to do things one needs to,Time Pressures,3
21,Female,39,33,31,31,26,Too many responsibilities,Time Pressures,2
21,Female,39,33,31,31,26,Not getting enough rest,Time Pressures,2
21,Female,39,33,31,31,26,Too many interruptions,Time Pressures,1
21,Female,39,33,31,31,26,Not enough time for entertainment and recreation,Time Pressures,3
21,Female,39,33,31,31,26,Too many meetings,Time Pressures,2
21,Female,39,33,31,31,26,Social obligations,Time Pressures,1
21,Female,39,33,31,31,26,Concerns about meeting high standards,Time Pressures,1
21,Female,39,33,31,31,26,Noise,Time Pressures,2
21,Female,39,33,31,31,26,Pollution,Environmental Hassles,4
21,Female,39,33,31,31,26,Crime,Environmental Hassles,4
21,Female,39,33,31,31,26,Traffic,Environmental Hassles,5
21,Female,39,33,31,31,26,Concerns about news events,Environmental Hassles,3
21,Female,39,33,31,31,26,Rising prices of common goods,Environmental Hassles,2
21,Female,39,33,31,31,26,Concerns about accidents,Environmental Hassles,2
21,Female,39,33,31,31,26,Yardwork or outside home maintenance,Family Hassles,1
21,Female,39,33,31,31,26,Overloaded with family responsibilities,Family Hassles,1
21,Female,39,33,31,31,26,Home maintenance (inside),Family Hassles,1
21,Female,39,33,31,31,26,Concerns about medical treatment,Health Hassles,1
21,Female,39,33,31,31,26,Physical illness,Health Hassles,1
21,Female,39,33,31,31,26,Side effects of medication,Health Hassles,1
21,Female,39,33,31,31,26,Concerns about health in general,Health Hassles,1
21,Female,39,33,31,31,26,Concerns about bodily functions,Health Hassles,1
21,Female,39,33,31,31,26,Dissatisfaction with academic performance,Academic Hassles,2
21,Female,39,33,31,31,26,Challenges with instructors,Academic Hassles,2
21,Female,39,33,31,31,26,Discontent with current academic responsibilities,Academic Hassles,1
21,Female,39,33,31,31,26,Concerns regarding academic transitions,Academic Hassles,1
21,Female,39,33,31,31,26,Difficulties with peers or classmates,Academic Hassles,1
21,Female,39,33,31,31,26,Challenges in managing group projects,Academic Hassles,1
21,Female,39,33,31,31,26,Getting late to class,Academic Hassles,1
19,Female,39,17,22,25,36,Misplacing or losing things,General Hassles,5
19,Female,39,17,22,25,36,Silly practical mistakes,General Hassles,3
19,Female,39,17,22,25,36,Trouble with pets,General Hassles,2
19,Female,39,17,22,25,36,Difficulties with friends,General Hassles,5
19,Female,39,17,22,25,36,Regrets over past decision/s,Inner Concerns,4
19,Female,39,17,22,25,36,Concerned about the meaning of life,Inner Concerns,5
19,Female,39,17,22,25,36,Being lonely,Inner Concerns,2
19,Female,39,17,22,25,36,Inability to express oneself,Inner Concerns,4
19,Female,39,17,22,25,36,Fear of rejection,Inner Concerns,5
19,Female,39,17,22,25,36,Trouble making decisions,Inner Concerns,5
19,Female,39,17,22,25,36,Physical appearance,Inner Concerns,5
19,Female,39,17,22,25,36,Not seeing people,Inner Concerns,1
19,Female,39,17,22,25,36,Troubling thoughts about one’s future,Inner Concerns,4
19,Female,39,17,22,25,36,Not enough personal energy,Inner Concerns,2
19,Female,39,17,22,25,36,Concerns about getting ahead,Inner Concerns,2
19,Female,39,17,22,25,36,Fear of confrontation,Inner Concerns,5
19,Female,39,17,22,25,36,Wasting time,Inner Concerns,2
19,Female,39,17,22,25,36,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,1
19,Female,39,17,22,25,36,Not enough money for wants (entertainment and recreation),Financial Concerns,2
19,Female,39,17,22,25,36,Concerns about owing money,Financial Concerns,1
19,Female,39,17,22,25,36,Concerns about money for emergencies,Financial Concerns,1
19,Female,39,17,22,25,36,Financial security,Financial Concerns,1
19,Female,39,17,22,25,36,Not enough time to do things one needs to,Time Pressures,3
19,Female,39,17,22,25,36,Too many responsibilities,Time Pressures,4
19,Female,39,17,22,25,36,Not getting enough rest,Time Pressures,3
19,Female,39,17,22,25,36,Too many interruptions,Time Pressures,2
19,Female,39,17,22,25,36,Not enough time for entertainment and recreation,Time Pressures,2
19,Female,39,17,22,25,36,Too many meetings,Time Pressures,1
19,Female,39,17,22,25,36,Social obligations,Time Pressures,5
19,Female,39,17,22,25,36,Concerns about meeting high standards,Time Pressures,4
19,Female,39,17,22,25,36,Noise,Time Pressures,3
19,Female,39,17,22,25,36,Pollution,Environmental Hassles,4
19,Female,39,17,22,25,36,Crime,Environmental Hassles,2
19,Female,39,17,22,25,36,Traffic,Environmental Hassles,3
19,Female,39,17,22,25,36,Concerns about news events,Environmental Hassles,1
19,Female,39,17,22,25,36,Rising prices of common goods,Environmental Hassles,3
19,Female,39,17,22,25,36,Concerns about accidents,Environmental Hassles,1
19,Female,39,17,22,25,36,Yardwork or outside home maintenance,Family Hassles,1
19,Female,39,17,22,25,36,Overloaded with family responsibilities,Family Hassles,1
19,Female,39,17,22,25,36,Home maintenance (inside),Family Hassles,1
19,Female,39,17,22,25,36,Concerns about medical treatment,Health Hassles,1
19,Female,39,17,22,25,36,Physical illness,Health Hassles,1
19,Female,39,17,22,25,36,Side effects of medication,Health Hassles,1
19,Female,39,17,22,25,36,Concerns about health in general,Health Hassles,2
19,Female,39,17,22,25,36,Concerns about bodily functions,Health Hassles,1
19,Female,39,17,22,25,36,Dissatisfaction with academic performance,Academic Hassles,5
19,Female,39,17,22,25,36,Challenges with instructors,Academic Hassles,5
19,Female,39,17,22,25,36,Discontent with current academic responsibilities,Academic Hassles,5
19,Female,39,17,22,25,36,Concerns regarding academic transitions,Academic Hassles,5
19,Female,39,17,22,25,36,Difficulties with peers or classmates,Academic Hassles,3
19,Female,39,17,22,25,36,Challenges in managing group projects,Academic Hassles,5
19,Female,39,17,22,25,36,Getting late to class,Academic Hassles,2
20,Female,38,26,29,24,19,Misplacing or losing things,General Hassles,1
20,Female,38,26,29,24,19,Silly practical mistakes,General Hassles,2
20,Female,38,26,29,24,19,Trouble with pets,General Hassles,1
20,Female,38,26,29,24,19,Difficulties with friends,General Hassles,1
20,Female,38,26,29,24,19,Regrets over past decision/s,Inner Concerns,1
20,Female,38,26,29,24,19,Concerned about the meaning of life,Inner Concerns,1
20,Female,38,26,29,24,19,Being lonely,Inner Concerns,1
20,Female,38,26,29,24,19,Inability to express oneself,Inner Concerns,1
20,Female,38,26,29,24,19,Fear of rejection,Inner Concerns,1
20,Female,38,26,29,24,19,Trouble making decisions,Inner Concerns,1
20,Female,38,26,29,24,19,Physical appearance,Inner Concerns,2
20,Female,38,26,29,24,19,Not seeing people,Inner Concerns,1
20,Female,38,26,29,24,19,Troubling thoughts about one’s future,Inner Concerns,1
20,Female,38,26,29,24,19,Not enough personal energy,Inner Concerns,1
20,Female,38,26,29,24,19,Concerns about getting ahead,Inner Concerns,2
20,Female,38,26,29,24,19,Fear of confrontation,Inner Concerns,1
20,Female,38,26,29,24,19,Wasting time,Inner Concerns,1
20,Female,38,26,29,24,19,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,1
20,Female,38,26,29,24,19,Not enough money for wants (entertainment and recreation),Financial Concerns,2
20,Female,38,26,29,24,19,Concerns about owing money,Financial Concerns,1
20,Female,38,26,29,24,19,Concerns about money for emergencies,Financial Concerns,2
20,Female,38,26,29,24,19,Financial security,Financial Concerns,2
20,Female,38,26,29,24,19,Not enough time to do things one needs to,Time Pressures,3
20,Female,38,26,29,24,19,Too many responsibilities,Time Pressures,1
20,Female,38,26,29,24,19,Not getting enough rest,Time Pressures,2
20,Female,38,26,29,24,19,Too many interruptions,Time Pressures,1
20,Female,38,26,29,24,19,Not enough time for entertainment and recreation,Time Pressures,3
20,Female,38,26,29,24,19,Too many meetings,Time Pressures,1
20,Female,38,26,29,24,19,Social obligations,Time Pressures,1
20,Female,38,26,29,24,19,Concerns about meeting high standards,Time Pressures,1
20,Female,38,26,29,24,19,Noise,Time Pressures,1
20,Female,38,26,29,24,19,Pollution,Environmental Hassles,1
20,Female,38,26,29,24,19,Crime,Environmental Hassles,2
20,Female,38,26,29,24,19,Traffic,Environmental Hassles,2
20,Female,38,26,29,24,19,Concerns about news events,Environmental Hassles,2
20,Female,38,26,29,24,19,Rising prices of common goods,Environmental Hassles,3
20,Female,38,26,29,24,19,Concerns about accidents,Environmental Hassles,2
20,Female,38,26,29,24,19,Yardwork or outside home maintenance,Family Hassles,1
20,Female,38,26,29,24,19,Overloaded with family responsibilities,Family Hassles,1
20,Female,38,26,29,24,19,Home maintenance (inside),Family Hassles,2
20,Female,38,26,29,24,19,Concerns about medical treatment,Health Hassles,1
20,Female,38,26,29,24,19,Physical illness,Health Hassles,1
20,Female,38,26,29,24,19,Side effects of medication,Health Hassles,1
20,Female,38,26,29,24,19,Concerns about health in general,Health Hassles,1
20,Female,38,26,29,24,19,Concerns about bodily functions,Health Hassles,1
20,Female,38,26,29,24,19,Dissatisfaction with academic performance,Academic Hassles,1
20,Female,38,26,29,24,19,Challenges with instructors,Academic Hassles,2
20,Female,38,26,29,24,19,Discontent with current academic responsibilities,Academic Hassles,1
20,Female,38,26,29,24,19,Concerns regarding academic transitions,Academic Hassles,1
20,Female,38,26,29,24,19,Difficulties with peers or classmates,Academic Hassles,1
20,Female,38,26,29,24,19,Challenges in managing group projects,Academic Hassles,1
20,Female,38,26,29,24,19,Getting late to class,Academic Hassles,1
19,Female,35,24,23,31,29,Misplacing or losing things,General Hassles,2
19,Female,35,24,23,31,29,Silly practical mistakes,General Hassles,2
19,Female,35,24,23,31,29,Trouble with pets,General Hassles,1
19,Female,35,24,23,31,29,Difficulties with friends,General Hassles,2
19,Female,35,24,23,31,29,Regrets over past decision/s,Inner Concerns,3
19,Female,35,24,23,31,29,Concerned about the meaning of life,Inner Concerns,3
19,Female,35,24,23,31,29,Being lonely,Inner Concerns,3
19,Female,35,24,23,31,29,Inability to express oneself,Inner Concerns,3
19,Female,35,24,23,31,29,Fear of rejection,Inner Concerns,4
19,Female,35,24,23,31,29,Trouble making decisions,Inner Concerns,3
19,Female,35,24,23,31,29,Physical appearance,Inner Concerns,4
19,Female,35,24,23,31,29,Not seeing people,Inner Concerns,3
19,Female,35,24,23,31,29,Troubling thoughts about one’s future,Inner Concerns,3
19,Female,35,24,23,31,29,Not enough personal energy,Inner Concerns,3
