Age,Gender,O,C,E,A,N,Hassle,Severity
21,Male,31,27,17,33,24,Dissatisfaction with academic performance,3
21,Male,31,27,17,33,24,Challenges with instructors,2
21,Male,31,27,17,33,24,Discontent with current academic responsibilities,4
21,Male,31,27,17,33,24,Concerns regarding academic transitions,2
21,Male,31,27,17,33,24,Difficulties with peers or classmates,3
21,Male,31,27,17,33,24,Challenges in managing group projects,3
21,Male,31,27,17,33,24,Getting late to class,1
21,Female,40,27,20,18,27,Dissatisfaction with academic performance,1
21,Female,40,27,20,18,27,Challenges with instructors,1
21,Female,40,27,20,18,27,Discontent with current academic responsibilities,1
21,Female,40,27,20,18,27,Concerns regarding academic transitions,1
21,Female,40,27,20,18,27,Difficulties with peers or classmates,1
21,Female,40,27,20,18,27,Challenges in managing group projects,1
21,Female,40,27,20,18,27,Getting late to class,1
19,Female,30,21,19,32,24,Dissatisfaction with academic performance,4
19,Female,30,21,19,32,24,Challenges with instructors,4
19,Female,30,21,19,32,24,Discontent with current academic responsibilities,4
19,Female,30,21,19,32,24,Concerns regarding academic transitions,3
19,Female,30,21,19,32,24,Difficulties with peers or classmates,3
19,Female,30,21,19,32,24,Challenges in managing group projects,3
19,Female,30,21,19,32,24,Getting late to class,3
20,Female,34,25,13,26,26,Dissatisfaction with academic performance,2
20,Female,34,25,13,26,26,Challenges with instructors,3
20,Female,34,25,13,26,26,Discontent with current academic responsibilities,3
20,Female,34,25,13,26,26,Concerns regarding academic transitions,3
20,Female,34,25,13,26,26,Difficulties with peers or classmates,2
20,Female,34,25,13,26,26,Challenges in managing group projects,3
20,Female,34,25,13,26,26,Getting late to class,3
22,Female,31,29,30,34,25,Dissatisfaction with academic performance,5
22,Female,31,29,30,34,25,Challenges with instructors,5
22,Female,31,29,30,34,25,Discontent with current academic responsibilities,5
22,Female,31,29,30,34,25,Concerns regarding academic transitions,3
22,Female,31,29,30,34,25,Difficulties with peers or classmates,5
22,Female,31,29,30,34,25,Challenges in managing group projects,5
22,Female,31,29,30,34,25,Getting late to class,4
21,Female,39,33,31,31,26,Dissatisfaction with academic performance,2
21,Female,39,33,31,31,26,Challenges with instructors,2
21,Female,39,33,31,31,26,Discontent with current academic responsibilities,1
21,Female,39,33,31,31,26,Concerns regarding academic transitions,1
21,Female,39,33,31,31,26,Difficulties with peers or classmates,1
21,Female,39,33,31,31,26,Challenges in managing group projects,1
21,Female,39,33,31,31,26,Getting late to class,1
20,Female,40,26,23,25,28,Dissatisfaction with academic performance,5
20,Female,40,26,23,25,28,Challenges with instructors,3
20,Female,40,26,23,25,28,Discontent with current academic responsibilities,5
20,Female,40,26,23,25,28,Concerns regarding academic transitions,4
20,Female,40,26,23,25,28,Difficulties with peers or classmates,3
20,Female,40,26,23,25,28,Challenges in managing group projects,3
20,Female,40,26,23,25,28,Getting late to class,1
21,Female,34,31,20,28,26,Dissatisfaction with academic performance,4
21,Female,34,31,20,28,26,Challenges with instructors,3
21,Female,34,31,20,28,26,Discontent with current academic responsibilities,4
21,Female,34,31,20,28,26,Concerns regarding academic transitions,3
21,Female,34,31,20,28,26,Difficulties with peers or classmates,4
