Age,Gender,O,C,E,A,N,Hassle,Severity
20,Female,44,42,33,37,22,Dissatisfaction with academic performance,3
20,Female,44,42,33,37,22,Challenges with instructors,2
20,Female,44,42,33,37,22,Discontent with current academic responsibilities,1
20,Female,44,42,33,37,22,Concerns regarding academic transitions,1
20,Female,44,42,33,37,22,Difficulties with peers or classmates,1
20,Female,44,42,33,37,22,Challenges in managing group projects,1
20,Female,44,42,33,37,22,Getting late to class,1
20,Male,34,30,23,28,30,Dissatisfaction with academic performance,3
20,Male,34,30,23,28,30,Challenges with instructors,4
20,Male,34,30,23,28,30,Discontent with current academic responsibilities,4
20,Male,34,30,23,28,30,Concerns regarding academic transitions,4
20,Male,34,30,23,28,30,Difficulties with peers or classmates,1
20,Male,34,30,23,28,30,Challenges in managing group projects,3
20,Male,34,30,23,28,30,Getting late to class,1
21,Female,39,31,22,30,32,Dissatisfaction with academic performance,5
21,Female,39,31,22,30,32,Challenges with instructors,5
21,Female,39,31,22,30,32,Discontent with current academic responsibilities,5
21,Female,39,31,22,30,32,Concerns regarding academic transitions,5
21,Female,39,31,22,30,32,Difficulties with peers or classmates,5
21,Female,39,31,22,30,32,Challenges in managing group projects,5
21,Female,39,31,22,30,32,Getting late to class,5
21,Female,39,33,31,31,26,Dissatisfaction with academic performance,2
21,Female,39,33,31,31,26,Challenges with instructors,2
21,Female,39,33,31,31,26,Discontent with current academic responsibilities,1
21,Female,39,33,31,31,26,Concerns regarding academic transitions,1
21,Female,39,33,31,31,26,Difficulties with peers or classmates,1
21,Female,39,33,31,31,26,Challenges in managing group projects,1
21,Female,39,33,31,31,26,Getting late to class,1
19,Female,39,17,22,25,36,Dissatisfaction with academic performance,5
19,Female,39,17,22,25,36,Challenges with instructors,5
19,Female,39,17,22,25,36,Discontent with current academic responsibilities,5
19,Female,39,17,22,25,36,Concerns regarding academic transitions,5
19,Female,39,17,22,25,36,Difficulties with peers or classmates,3
19,Female,39,17,22,25,36,Challenges in managing group projects,5
19,Female,39,17,22,25,36,Getting late to class,2
20,Female,38,26,29,24,19,Dissatisfaction with academic performance,1
20,Female,38,26,29,24,19,Challenges with instructors,2
20,Female,38,26,29,24,19,Discontent with current academic responsibilities,1
20,Female,38,26,29,24,19,Concerns regarding academic transitions,1
20,Female,38,26,29,24,19,Difficulties with peers or classmates,1
20,Female,38,26,29,24,19,Challenges in managing group projects,1
20,Female,38,26,29,24,19,Getting late to class,1
19,Female,35,24,23,31,29,Dissatisfaction with academic performance,4
19,Female,35,24,23,31,29,Challenges with instructors,3
19,Female,35,24,23,31,29,Discontent with current academic responsibilities,3
19,Female,35,24,23,31,29,Concerns regarding academic transitions,3
19,Female,35,24,23,31,29,Difficulties with peers or classmates,2
19,Female,35,24,23,31,29,Challenges in managing group projects,2
19,Female,35,24,23,31,29,Getting late to class,1
22,Male,33,23,37,27,27,Dissatisfaction with academic performance,4
22,Male,33,23,37,27,27,Challenges with instructors,3
22,Male,33,23,37,27,27,Discontent with current academic responsibilities,4
22,Male,33,23,37,27,27,Concerns regarding academic transitions,4
22,Male,33,23,37,27,27,Difficulties with peers or classmates,2
22,Male,33,23,37,27,27,Challenges in managing group projects,4
22,Male,33,23,37,27,27,Getting late to class,1
19,Male,34,33,24,32,23,Dissatisfaction with academic performance,1
19,Male,34,33,24,32,23,Challenges with instructors,3
19,Male,34,33,24,32,23,Discontent with current academic responsibilities,1
19,Male,34,33,24,32,23,Concerns regarding academic transitions,1
19,Male,34,33,24,32,23,Difficulties with peers or classmates,2
19,Male,34,33,24,32,23,Challenges in managing group projects,5
19,Male,34,33,24,32,23,Getting late to class,4
20,Female,33,32,22,29,31,Dissatisfaction with academic performance,3
20,Female,33,32,22,29,31,Challenges with instructors,3
20,Female,33,32,22,29,31,Discontent with current academic responsibilities,4
20,Female,33,32,22,29,31,Concerns regarding academic transitions,3
20,Female,33,32,22,29,31,Difficulties with peers or classmates,3
20,Female,33,32,22,29,31,Challenges in managing group projects,4
20,Female,33,32,22,29,31,Getting late to class,4
21,Male,43,37,29,27,30,Dissatisfaction with academic performance,5
21,Male,43,37,29,27,30,Challenges with instructors,4
21,Male,43,37,29,27,30,Discontent with current academic responsibilities,5
21,Male,43,37,29,27,30,Concerns regarding academic transitions,5
21,Male,43,37,29,27,30,Difficulties with peers or classmates,3
21,Male,43,37,29,27,30,Challenges in managing group projects,1
21,Male,43,37,29,27,30,Getting late to class,3
21,Female,34,31,20,28,26,Dissatisfaction with academic performance,4
21,Female,34,31,20,28,26,Challenges with instructors,3
21,Female,34,31,20,28,26,Discontent with current academic responsibilities,4
21,Female,34,31,20,28,26,Concerns regarding academic transitions,3
21,Female,34,31,20,28,26,Difficulties with peers or classmates,4
21,Female,34,31,20,28,26,Challenges in managing group projects,3
21,Female,34,31,20,28,26,Getting late to class,3
22,Female,33,37,21,35,24,Dissatisfaction with academic performance,3
22,Female,33,37,21,35,24,Challenges with instructors,2
22,Female,33,37,21,35,24,Discontent with current academic responsibilities,2
22,Female,33,37,21,35,24,Concerns regarding academic transitions,2
22,Female,33,37,21,35,24,Difficulties with peers or classmates,2
22,Female,33,37,21,35,24,Challenges in managing group projects,2
22,Female,33,37,21,35,24,Getting late to class,1
22,Female,32,42,25,37,18,Dissatisfaction with academic performance,3
22,Female,32,42,25,37,18,Challenges with instructors,4
22,Female,32,42,25,37,18,Discontent with current academic responsibilities,5
22,Female,32,42,25,37,18,Concerns regarding academic transitions,3
22,Female,32,42,25,37,18,Difficulties with peers or classmates,4
22,Female,32,42,25,37,18,Challenges in managing group projects,5
22,Female,32,42,25,37,18,Getting late to class,5
21,Male,36,31,19,32,26,Dissatisfaction with academic performance,2
21,Male,36,31,19,32,26,Challenges with instructors,3
21,Male,36,31,19,32,26,Discontent with current academic responsibilities,3
21,Male,36,31,19,32,26,Concerns regarding academic transitions,2
21,Male,36,31,19,32,26,Difficulties with peers or classmates,3
21,Male,36,31,19,32,26,Challenges in managing group projects,3
21,Male,36,31,19,32,26,Getting late to class,4
20,Female,43,37,33,29,26,Dissatisfaction with academic performance,3
20,Female,43,37,33,29,26,Challenges with instructors,2
20,Female,43,37,33,29,26,Discontent with current academic responsibilities,3
20,Female,43,37,33,29,26,Concerns regarding academic transitions,2
20,Female,43,37,33,29,26,Difficulties with peers or classmates,2
20,Female,43,37,33,29,26,Challenges in managing group projects,3
20,Female,43,37,33,29,26,Getting late to class,1
20,Others,36,20,22,31,29,Dissatisfaction with academic performance,4
20,Others,36,20,22,31,29,Challenges with instructors,4
20,Others,36,20,22,31,29,Discontent with current academic responsibilities,5
20,Others,36,20,22,31,29,Concerns regarding academic transitions,5
20,Others,36,20,22,31,29,Difficulties with peers or classmates,5
20,Others,36,20,22,31,29,Challenges in managing group projects,4
20,Others,36,20,22,31,29,Getting late to class,5
21,Male,35,30,21,31,26,Dissatisfaction with academic performance,4
21,Male,35,30,21,31,26,Challenges with instructors,3
21,Male,35,30,21,31,26,Discontent with current academic responsibilities,4
21,Male,35,30,21,31,26,Concerns regarding academic transitions,4
21,Male,35,30,21,31,26,Difficulties with peers or classmates,4
21,Male,35,30,21,31,26,Challenges in managing group projects,5
21,Male,35,30,21,31,26,Getting late to class,2
21,Male,38,25,24,36,19,Dissatisfaction with academic performance,2
21,Male,38,25,24,36,19,Challenges with instructors,2
21,Male,38,25,24,36,19,Discontent with current academic responsibilities,3
21,Male,38,25,24,36,19,Concerns regarding academic transitions,1
21,Male,38,25,24,36,19,Difficulties with peers or classmates,2
21,Male,38,25,24,36,19,Challenges in managing group projects,2
21,Male,38,25,24,36,19,Getting late to class,1
19,Female,43,24,30,35,25,Dissatisfaction with academic performance,5
19,Female,43,24,30,35,25,Challenges with instructors,5
19,Female,43,24,30,35,25,Discontent with current academic responsibilities,5
19,Female,43,24,30,35,25,Concerns regarding academic transitions,5
19,Female,43,24,30,35,25,Difficulties with peers or classmates,2
19,Female,43,24,30,35,25,Challenges in managing group projects,2
19,Female,43,24,30,35,25,Getting late to class,1
19,Female,44,29,20,31,24,Dissatisfaction with academic performance,5
19,Female,44,29,20,31,24,Challenges with instructors,5
19,Female,44,29,20,31,24,Discontent with current academic responsibilities,5
19,Female,44,29,20,31,24,Concerns regarding academic transitions,5
19,Female,44,29,20,31,24,Difficulties with peers or classmates,3
19,Female,44,29,20,31,24,Challenges in managing group projects,3
19,Female,44,29,20,31,24,Getting late to class,4
19,Female,33,24,16,35,28,Dissatisfaction with academic performance,2
19,Female,33,24,16,35,28,Challenges with instructors,2
19,Female,33,24,16,35,28,Discontent with current academic responsibilities,3
19,Female,33,24,16,35,28,Concerns regarding academic transitions,2
19,Female,33,24,16,35,28,Difficulties with peers or classmates,1
19,Female,33,24,16,35,28,Challenges in managing group projects,1
19,Female,33,24,16,35,28,Getting late to class,1
19,Female,40,39,28,30,17,Dissatisfaction with academic performance,2
19,Female,40,39,28,30,17,Challenges with instructors,3
19,Female,40,39,28,30,17,Discontent with current academic responsibilities,2
19,Female,40,39,28,30,17,Concerns regarding academic transitions,2
19,Female,40,39,28,30,17,Difficulties with peers or classmates,2
19,Female,40,39,28,30,17,Challenges in managing group projects,1
19,Female,40,39,28,30,17,Getting late to class,1
19,Female,36,23,32,25,26,Dissatisfaction with academic performance,5
19,Female,36,23,32,25,26,Challenges with instructors,3
19,Female,36,23,32,25,26,Discontent with current academic responsibilities,4
