Age,Gender,O,C,E,A,N,Hassle,Severity
21,Male,31,27,17,33,24,Pollution,2
21,Male,31,27,17,33,24,Crime,4
21,Male,31,27,17,33,24,Traffic,3
21,Male,31,27,17,33,24,Concerns about news events,2
21,Male,31,27,17,33,24,Rising prices of common goods,4
21,Male,31,27,17,33,24,Concerns about accidents,3
21,Female,40,27,20,18,27,Pollution,1
21,Female,40,27,20,18,27,Crime,2
21,Female,40,27,20,18,27,Traffic,2
21,Female,40,27,20,18,27,Concerns about news events,1
21,Female,40,27,20,18,27,Rising prices of common goods,1
21,Female,40,27,20,18,27,Concerns about accidents,1
19,Female,30,21,19,32,24,Pollution,3
19,Female,30,21,19,32,24,Crime,3
19,Female,30,21,19,32,24,Traffic,3
19,Female,30,21,19,32,24,Concerns about news events,3
19,Female,30,21,19,32,24,Rising prices of common goods,3
19,Female,30,21,19,32,24,Concerns about accidents,3
20,Female,34,25,13,26,26,Pollution,3
20,Female,34,25,13,26,26,Crime,5
20,Female,34,25,13,26,26,Traffic,2
20,Female,34,25,13,26,26,Concerns about news events,4
20,Female,34,25,13,26,26,Rising prices of common goods,4
20,Female,34,25,13,26,26,Concerns about accidents,4
22,Female,31,29,30,34,25,Pollution,4
22,Female,31,29,30,34,25,Crime,5
22,Female,31,29,30,34,25,Traffic,5
22,Female,31,29,30,34,25,Concerns about news events,4
22,Female,31,29,30,34,25,Rising prices of common goods,4
22,Female,31,29,30,34,25,Concerns about accidents,4
21,Female,39,33,31,31,26,Pollution,4
21,Female,39,33,31,31,26,Crime,4
21,Female,39,33,31,31,26,Traffic,5
21,Female,39,33,31,31,26,Concerns about news events,3
21,Female,39,33,31,31,26,Rising prices of common goods,2
21,Female,39,33,31,31,26,Concerns about accidents,2
20,Female,40,26,23,25,28,Pollution,2
20,Female,40,26,23,25,28,Crime,2
20,Female,40,26,23,25,28,Traffic,3
20,Female,40,26,23,25,28,Concerns about news events,2
20,Female,40,26,23,25,28,Rising prices of common goods,3
20,Female,40,26,23,25,28,Concerns about accidents,3
21,Female,34,31,20,28,26,Pollution,3
