Age,Gender,O,C,E,A,N,Hassle,Severity
20,Female,44,42,33,37,22,Pollution,1
20,Female,44,42,33,37,22,Crime,1
20,Female,44,42,33,37,22,Traffic,2
20,Female,44,42,33,37,22,Concerns about news events,2
20,Female,44,42,33,37,22,Rising prices of common goods,4
20,Female,44,42,33,37,22,Concerns about accidents,5
20,Male,34,30,23,28,30,Pollution,5
20,Male,34,30,23,28,30,Crime,5
20,Male,34,30,23,28,30,Traffic,5
20,Male,34,30,23,28,30,Concerns about news events,5
20,Male,34,30,23,28,30,Rising prices of common goods,5
20,Male,34,30,23,28,30,Concerns about accidents,4
21,Female,39,31,22,30,32,Pollution,3
21,Female,39,31,22,30,32,Crime,5
21,Female,39,31,22,30,32,Traffic,5
21,Female,39,31,22,30,32,Concerns about news events,3
21,Female,39,31,22,30,32,Rising prices of common goods,3
21,Female,39,31,22,30,32,Concerns about accidents,4
21,Female,39,33,31,31,26,Pollution,4
21,Female,39,33,31,31,26,Crime,4
21,Female,39,33,31,31,26,Traffic,5
21,Female,39,33,31,31,26,Concerns about news events,3
21,Female,39,33,31,31,26,Rising prices of common goods,2
21,Female,39,33,31,31,26,Concerns about accidents,2
19,Female,39,17,22,25,36,Pollution,4
19,Female,39,17,22,25,36,Crime,2
19,Female,39,17,22,25,36,Traffic,3
19,Female,39,17,22,25,36,Concerns about news events,1
19,Female,39,17,22,25,36,Rising prices of common goods,3
19,Female,39,17,22,25,36,Concerns about accidents,1
20,Female,38,26,29,24,19,Pollution,1
20,Female,38,26,29,24,19,Crime,2
20,Female,38,26,29,24,19,Traffic,2
20,Female,38,26,29,24,19,Concerns about news events,2
20,Female,38,26,29,24,19,Rising prices of common goods,3
20,Female,38,26,29,24,19,Concerns about accidents,2
19,Female,35,24,23,31,29,Pollution,3
19,Female,35,24,23,31,29,Crime,3
19,Female,35,24,23,31,29,Traffic,3
19,Female,35,24,23,31,29,Concerns about news events,4
19,Female,35,24,23,31,29,Rising prices of common goods,4
19,Female,35,24,23,31,29,Concerns about accidents,3
22,Male,33,23,37,27,27,Pollution,2
22,Male,33,23,37,27,27,Crime,2
22,Male,33,23,37,27,27,Traffic,5
22,Male,33,23,37,27,27,Concerns about news events,2
22,Male,33,23,37,27,27,Rising prices of common goods,4
22,Male,33,23,37,27,27,Concerns about accidents,3
19,Male,34,33,24,32,23,Pollution,3
19,Male,34,33,24,32,23,Crime,4
19,Male,34,33,24,32,23,Traffic,3
19,Male,34,33,24,32,23,Concerns about news events,3
19,Male,34,33,24,32,23,Rising prices of common goods,4
19,Male,34,33,24,32,23,Concerns about accidents,4
20,Female,33,32,22,29,31,Pollution,4
20,Female,33,32,22,29,31,Crime,4
20,Female,33,32,22,29,31,Traffic,4
20,Female,33,32,22,29,31,Concerns about news events,2
20,Female,33,32,22,29,31,Rising prices of common goods,4
20,Female,33,32,22,29,31,Concerns about accidents,4
21,Male,43,37,29,27,30,Pollution,5
21,Male,43,37,29,27,30,Crime,5
21,Male,43,37,29,27,30,Traffic,3
21,Male,43,37,29,27,30,Concerns about news events,2
21,Male,43,37,29,27,30,Rising prices of common goods,5
21,Male,43,37,29,27,30,Concerns about accidents,1
21,Female,34,31,20,28,26,Pollution,3
21,Female,34,31,20,28,26,Crime,4
21,Female,34,31,20,28,26,Traffic,3
21,Female,34,31,20,28,26,Concerns about news events,3
21,Female,34,31,20,28,26,Rising prices of common goods,3
21,Female,34,31,20,28,26,Concerns about accidents,4
22,Female,33,37,21,35,24,Pollution,3
22,Female,33,37,21,35,24,Crime,4
22,Female,33,37,21,35,24,Traffic,3
22,Female,33,37,21,35,24,Concerns about news events,3
22,Female,33,37,21,35,24,Rising prices of common goods,3
22,Female,33,37,21,35,24,Concerns about accidents,3
22,Female,32,42,25,37,18,Pollution,3
22,Female,32,42,25,37,18,Crime,5
22,Female,32,42,25,37,18,Traffic,5
22,Female,32,42,25,37,18,Concerns about news events,4
22,Female,32,42,25,37,18,Rising prices of common goods,4
22,Female,32,42,25,37,18,Concerns about accidents,4
21,Male,36,31,19,32,26,Pollution,2
21,Male,36,31,19,32,26,Crime,3
21,Male,36,31,19,32,26,Traffic,3
21,Male,36,31,19,32,26,Concerns about news events,3
21,Male,36,31,19,32,26,Rising prices of common goods,2
21,Male,36,31,19,32,26,Concerns about accidents,2
20,Female,43,37,33,29,26,Pollution,3
20,Female,43,37,33,29,26,Crime,3
20,Female,43,37,33,29,26,Traffic,3
20,Female,43,37,33,29,26,Concerns about news events,1
20,Female,43,37,33,29,26,Rising prices of common goods,2
20,Female,43,37,33,29,26,Concerns about accidents,1
20,Others,36,20,22,31,29,Pollution,3
20,Others,36,20,22,31,29,Crime,3
20,Others,36,20,22,31,29,Traffic,4
20,Others,36,20,22,31,29,Concerns about news events,4
20,Others,36,20,22,31,29,Rising prices of common goods,4
20,Others,36,20,22,31,29,Concerns about accidents,4
21,Male,35,30,21,31,26,Pollution,3
21,Male,35,30,21,31,26,Crime,4
21,Male,35,30,21,31,26,Traffic,3
21,Male,35,30,21,31,26,Concerns about news events,2
21,Male,35,30,21,31,26,Rising prices of common goods,2
21,Male,35,30,21,31,26,Concerns about accidents,3
21,Male,38,25,24,36,19,Pollution,4
21,Male,38,25,24,36,19,Crime,2
21,Male,38,25,24,36,19,Traffic,1
21,Male,38,25,24,36,19,Concerns about news events,1
21,Male,38,25,24,36,19,Rising prices of common goods,1
21,Male,38,25,24,36,19,Concerns about accidents,2
19,Female,43,24,30,35,25,Pollution,4
19,Female,43,24,30,35,25,Crime,3
19,Female,43,24,30,35,25,Traffic,5
19,Female,43,24,30,35,25,Concerns about news events,2
19,Female,43,24,30,35,25,Rising prices of common goods,3
19,Female,43,24,30,35,25,Concerns about accidents,5
19,Female,44,29,20,31,24,Pollution,5
19,Female,44,29,20,31,24,Crime,2
19,Female,44,29,20,31,24,Traffic,3
19,Female,44,29,20,31,24,Concerns about news events,2
19,Female,44,29,20,31,24,Rising prices of common goods,3
19,Female,44,29,20,31,24,Concerns about accidents,3
19,Female,33,24,16,35,28,Pollution,2
19,Female,33,24,16,35,28,Crime,3
19,Female,33,24,16,35,28,Traffic,2
19,Female,33,24,16,35,28,Concerns about news events,2
19,Female,33,24,16,35,28,Rising prices of common goods,4
19,Female,33,24,16,35,28,Concerns about accidents,4
19,Female,40,39,28,30,17,Pollution,3
19,Female,40,39,28,30,17,Crime,3
19,Female,40,39,28,30,17,Traffic,3
19,Female,40,39,28,30,17,Concerns about news events,2
19,Female,40,39,28,30,17,Rising prices of common goods,2
19,Female,40,39,28,30,17,Concerns about accidents,2
19,Female,36,23,32,25,26,Pollution,5
19,Female,36,23,32,25,26,Crime,5
19,Female,36,23,32,25,26,Traffic,5
19,Female,36,23,32,25,26,Concerns about news events,3
19,Female,36,23,32,25,26,Rising prices of common goods,5
19,Female,36,23,32,25,26,Concerns about accidents,4
21,Female,40,27,20,18,27,Pollution,1
21,Female,40,27,20,18,27,Crime,2
21,Female,40,27,20,18,27,Traffic,2
21,Female,40,27,20,18,27,Concerns about news events,1
21,Female,40,27,20,18,27,Rising prices of common goods,1
21,Female,40,27,20,18,27,Concerns about accidents,1
22,Male,32,31,27,35,23,Pollution,4
22,Male,32,31,27,35,23,Crime,3
22,Male,32,31,27,35,23,Traffic,5
22,Male,32,31,27,35,23,Concerns about news events,4
22,Male,32,31,27,35,23,Rising prices of common goods,4
22,Male,32,31,27,35,23,Concerns about accidents,2
19,Female,30,21,19,32,24,Pollution,3
19,Female,30,21,19,32,24,Crime,3
19,Female,30,21,19,32,24,Traffic,3
19,Female,30,21,19,32,24,Concerns about news events,3
19,Female,30,21,19,32,24,Rising prices of common goods,3
19,Female,30,21,19,32,24,Concerns about accidents,3
21,Female,39,30,34,39,19,Pollution,3
21,Female,39,30,34,39,19,Crime,5
21,Female,39,30,34,39,19,Traffic,4
21,Female,39,30,34,39,19,Concerns about news events,2
21,Female,39,30,34,39,19,Rising prices of common goods,3
21,Female,39,30,34,39,19,Concerns about accidents,3
19,Others,38,20,19,28,31,Pollution,5
19,Others,38,20,19,28,31,Crime,5
19,Others,38,20,19,28,31,Traffic,5
19,Others,38,20,19,28,31,Concerns about news events,5
19,Others,38,20,19,28,31,Rising prices of common goods,5
19,Others,38,20,19,28,31,Concerns about accidents,5
19,Female,44,30,20,25,37,Pollution,5
19,Female,44,30,20,25,37,Crime,5
19,Female,44,30,20,25,37,Traffic,4
19,Female,44,30,20,25,37,Concerns about news events,4
19,Female,44,30,20,25,37,Rising prices of common goods,5
19,Female,44,30,20,25,37,Concerns about accidents,4
21,Female,33,29,31,29,30,Pollution,1
21,Female,33,29,31,29,30,Crime,1
21,Female,33,29,31,29,30,Traffic,4
21,Female,33,29,31,29,30,Concerns about news events,1
21,Female,33,29,31,29,30,Rising prices of common goods,1
21,Female,33,29,31,29,30,Concerns about accidents,1
21,Male,34,28,16,23,33,Pollution,3
21,Male,34,28,16,23,33,Crime,3
21,Male,34,28,16,23,33,Traffic,4
21,Male,34,28,16,23,33,Concerns about news events,1
21,Male,34,28,16,23,33,Rising prices of common goods,1
21,Male,34,28,16,23,33,Concerns about accidents,3
18,Female,43,39,21,31,25,Pollution,3
18,Female,43,39,21,31,25,Crime,1
18,Female,43,39,21,31,25,Traffic,5
18,Female,43,39,21,31,25,Concerns about news events,3
18,Female,43,39,21,31,25,Rising prices of common goods,4
18,Female,43,39,21,31,25,Concerns about accidents,3
21,Male,38,29,22,27,27,Pollution,2
21,Male,38,29,22,27,27,Crime,1
21,Male,38,29,22,27,27,Traffic,4
21,Male,38,29,22,27,27,Concerns about news events,4
21,Male,38,29,22,27,27,Rising prices of common goods,4
21,Male,38,29,22,27,27,Concerns about accidents,3
20,Male,48,27,23,33,28,Pollution,5
20,Male,48,27,23,33,28,Crime,4
20,Male,48,27,23,33,28,Traffic,4
20,Male,48,27,23,33,28,Concerns about news events,3
20,Male,48,27,23,33,28,Rising prices of common goods,5
20,Male,48,27,23,33,28,Concerns about accidents,3
21,Male,36,27,18,31,32,Pollution,5
21,Male,36,27,18,31,32,Crime,5
21,Male,36,27,18,31,32,Traffic,4
21,Male,36,27,18,31,32,Concerns about news events,4
21,Male,36,27,18,31,32,Rising prices of common goods,4
21,Male,36,27,18,31,32,Concerns about accidents,5
21,Male,33,25,20,28,19,Pollution,3
21,Male,33,25,20,28,19,Crime,2
21,Male,33,25,20,28,19,Traffic,2
21,Male,33,25,20,28,19,Concerns about news events,1
21,Male,33,25,20,28,19,Rising prices of common goods,3
21,Male,33,25,20,28,19,Concerns about accidents,2
20,Female,40,26,23,25,28,Pollution,2
20,Female,40,26,23,25,28,Crime,2
20,Female,40,26,23,25,28,Traffic,3
20,Female,40,26,23,25,28,Concerns about news events,2
20,Female,40,26,23,25,28,Rising prices of common goods,3
20,Female,40,26,23,25,28,Concerns about accidents,3
22,Male,33,33,26,37,17,Pollution,3
22,Male,33,33,26,37,17,Crime,3
22,Male,33,33,26,37,17,Traffic,4
22,Male,33,33,26,37,17,Concerns about news events,3
22,Male,33,33,26,37,17,Rising prices of common goods,4
22,Male,33,33,26,37,17,Concerns about accidents,2
21,Female,42,28,20,39,19,Pollution,5
21,Female,42,28,20,39,19,Crime,3
21,Female,42,28,20,39,19,Traffic,3
21,Female,42,28,20,39,19,Concerns about news events,2
21,Female,42,28,20,39,19,Rising prices of common goods,5
21,Female,42,28,20,39,19,Concerns about accidents,3
19,Female,39,36,23,27,29,Pollution,3
19,Female,39,36,23,27,29,Crime,4
19,Female,39,36,23,27,29,Traffic,3
19,Female,39,36,23,27,29,Concerns about news events,1
19,Female,39,36,23,27,29,Rising prices of common goods,3
19,Female,39,36,23,27,29,Concerns about accidents,2
