Age,Gender,O,C,E,A,N,Hassle,Severity
20,Female,44,42,33,37,22,Yardwork or outside home maintenance,2
20,Female,44,42,33,37,22,Overloaded with family responsibilities,1
20,Female,44,42,33,37,22,Home maintenance (inside),1
20,Male,34,30,23,28,30,Yardwork or outside home maintenance,2
20,Male,34,30,23,28,30,Overloaded with family responsibilities,1
20,Male,34,30,23,28,30,Home maintenance (inside),2
21,Female,39,31,22,30,32,Yardwork or outside home maintenance,3
21,Female,39,31,22,30,32,Overloaded with family responsibilities,5
21,Female,39,31,22,30,32,Home maintenance (inside),5
21,Female,39,33,31,31,26,Yardwork or outside home maintenance,1
21,Female,39,33,31,31,26,Overloaded with family responsibilities,1
21,Female,39,33,31,31,26,Home maintenance (inside),1
19,Female,39,17,22,25,36,Yardwork or outside home maintenance,1
19,Female,39,17,22,25,36,Overloaded with family responsibilities,1
19,Female,39,17,22,25,36,Home maintenance (inside),1
20,Female,38,26,29,24,19,Yardwork or outside home maintenance,1
20,Female,38,26,29,24,19,Overloaded with family responsibilities,1
20,Female,38,26,29,24,19,Home maintenance (inside),2
19,Female,35,24,23,31,29,Yardwork or outside home maintenance,1
19,Female,35,24,23,31,29,Overloaded with family responsibilities,2
19,Female,35,24,23,31,29,Home maintenance (inside),2
22,Male,33,23,37,27,27,Yardwork or outside home maintenance,4
22,Male,33,23,37,27,27,Overloaded with family responsibilities,4
22,Male,33,23,37,27,27,Home maintenance (inside),4
19,Male,34,33,24,32,23,Yardwork or outside home maintenance,4
19,Male,34,33,24,32,23,Overloaded with family responsibilities,5
19,Male,34,33,24,32,23,Home maintenance (inside),5
20,Female,33,32,22,29,31,Yardwork or outside home maintenance,3
20,Female,33,32,22,29,31,Overloaded with family responsibilities,4
20,Female,33,32,22,29,31,Home maintenance (inside),5
21,Male,43,37,29,27,30,Yardwork or outside home maintenance,1
21,Male,43,37,29,27,30,Overloaded with family responsibilities,3
21,Male,43,37,29,27,30,Home maintenance (inside),2
