Age,Gender,O,C,E,A,N,Hassle,Severity
20,Female,44,42,33,37,22,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
20,Female,44,42,33,37,22,Not enough money for wants (entertainment and recreation),1
20,Female,44,42,33,37,22,Concerns about owing money,1
20,Female,44,42,33,37,22,Concerns about money for emergencies,1
20,Female,44,42,33,37,22,Financial security,1
20,Male,34,30,23,28,30,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
20,Male,34,30,23,28,30,Not enough money for wants (entertainment and recreation),1
20,Male,34,30,23,28,30,Concerns about owing money,2
20,Male,34,30,23,28,30,Concerns about money for emergencies,1
20,Male,34,30,23,28,30,Financial security,1
21,Female,39,31,22,30,32,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
21,Female,39,31,22,30,32,Not enough money for wants (entertainment and recreation),5
21,Female,39,31,22,30,32,Concerns about owing money,5
21,Female,39,31,22,30,32,Concerns about money for emergencies,5
21,Female,39,31,22,30,32,Financial security,5
21,Female,39,33,31,31,26,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
21,Female,39,33,31,31,26,Not enough money for wants (entertainment and recreation),1
21,Female,39,33,31,31,26,Concerns about owing money,1
21,Female,39,33,31,31,26,Concerns about money for emergencies,1
21,Female,39,33,31,31,26,Financial security,1
19,Female,39,17,22,25,36,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
19,Female,39,17,22,25,36,Not enough money for wants (entertainment and recreation),2
19,Female,39,17,22,25,36,Concerns about owing money,1
19,Female,39,17,22,25,36,Concerns about money for emergencies,1
19,Female,39,17,22,25,36,Financial security,1
20,Female,38,26,29,24,19,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
20,Female,38,26,29,24,19,Not enough money for wants (entertainment and recreation),2
20,Female,38,26,29,24,19,Concerns about owing money,1
20,Female,38,26,29,24,19,Concerns about money for emergencies,2
20,Female,38,26,29,24,19,Financial security,2
19,Female,35,24,23,31,29,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",3
19,Female,35,24,23,31,29,Not enough money for wants (entertainment and recreation),3
19,Female,35,24,23,31,29,Concerns about owing money,3
19,Female,35,24,23,31,29,Concerns about money for emergencies,3
19,Female,35,24,23,31,29,Financial security,3
22,Male,33,23,37,27,27,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",2
22,Male,33,23,37,27,27,Not enough money for wants (entertainment and recreation),3
22,Male,33,23,37,27,27,Concerns about owing money,3
22,Male,33,23,37,27,27,Concerns about money for emergencies,3
22,Male,33,23,37,27,27,Financial security,2
19,Male,34,33,24,32,23,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
19,Male,34,33,24,32,23,Not enough money for wants (entertainment and recreation),4
19,Male,34,33,24,32,23,Concerns about owing money,3
19,Male,34,33,24,32,23,Concerns about money for emergencies,3
19,Male,34,33,24,32,23,Financial security,5
20,Female,33,32,22,29,31,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",4
20,Female,33,32,22,29,31,Not enough money for wants (entertainment and recreation),4
20,Female,33,32,22,29,31,Concerns about owing money,5
20,Female,33,32,22,29,31,Concerns about money for emergencies,3
20,Female,33,32,22,29,31,Financial security,3
21,Male,43,37,29,27,30,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
21,Male,43,37,29,27,30,Not enough money for wants (entertainment and recreation),2
21,Male,43,37,29,27,30,Concerns about owing money,5
21,Male,43,37,29,27,30,Concerns about money for emergencies,5
21,Male,43,37,29,27,30,Financial security,5
21,Female,34,31,20,28,26,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",4
21,Female,34,31,20,28,26,Not enough money for wants (entertainment and recreation),2
