Age,Gender,O,C,E,A,N,Hassle,Severity
21,Male,31,27,17,33,24,Misplacing or losing things,2
21,Male,31,27,17,33,24,Silly practical mistakes,1
21,Male,31,27,17,33,24,Trouble with pets,3
21,Male,31,27,17,33,24,Difficulties with friends,4
21,Female,40,27,20,18,27,Misplacing or losing things,3
21,Female,40,27,20,18,27,Silly practical mistakes,2
21,Female,40,27,20,18,27,Trouble with pets,1
21,Female,40,27,20,18,27,Difficulties with friends,2
19,Female,30,21,19,32,24,Misplacing or losing things,3
19,Female,30,21,19,32,24,Silly practical mistakes,3
19,Female,30,21,19,32,24,Trouble with pets,3
19,Female,30,21,19,32,24,Difficulties with friends,4
20,Female,34,25,13,26,26,Misplacing or losing things,2
20,Female,34,25,13,26,26,Silly practical mistakes,1
20,Female,34,25,13,26,26,Trouble with pets,1
20,Female,34,25,13,26,26,Difficulties with friends,4
22,Female,31,29,30,34,25,Misplacing or losing things,4
22,Female,31,29,30,34,25,Silly practical mistakes,3
22,Female,31,29,30,34,25,Trouble with pets,4
22,Female,31,29,30,34,25,Difficulties with friends,5
21,Female,39,33,31,31,26,Misplacing or losing things,2
21,Female,39,33,31,31,26,Silly practical mistakes,2
21,Female,39,33,31,31,26,Trouble with pets,1
21,Female,39,33,31,31,26,Difficulties with friends,1
20,Female,40,26,23,25,28,Misplacing or losing things,1
20,Female,40,26,23,25,28,Silly practical mistakes,2
20,Female,40,26,23,25,28,Trouble with pets,5
20,Female,40,26,23,25,28,Difficulties with friends,3
21,Female,34,31,20,28,26,Misplacing or losing things,2
21,Female,34,31,20,28,26,Silly practical mistakes,3
21,Female,34,31,20,28,26,Trouble with pets,3
21,Female,34,31,20,28,26,Difficulties with friends,3
18,Female,43,39,21,31,25,Misplacing or losing things,2
18,Female,43,39,21,31,25,Silly practical mistakes,2
18,Female,43,39,21,31,25,Trouble with pets,1
18,Female,43,39,21,31,25,Difficulties with friends,1
21,Male,38,25,24,36,19,Misplacing or losing things,1
21,Male,38,25,24,36,19,Silly practical mistakes,1
21,Male,38,25,24,36,19,Trouble with pets,1
21,Male,38,25,24,36,19,Difficulties with friends,2
22,Male,31,26,21,26,30,Misplacing or losing things,3
22,Male,31,26,21,26,30,Silly practical mistakes,2
22,Male,31,26,21,26,30,Trouble with pets,1
22,Male,31,26,21,26,30,Difficulties with friends,2
21,Female,28,32,28,34,20,Misplacing or losing things,2
21,Female,28,32,28,34,20,Silly practical mistakes,2
21,Female,28,32,28,34,20,Trouble with pets,1
21,Female,28,32,28,34,20,Difficulties with friends,3
21,Female,42,28,20,39,19,Misplacing or losing things,3
21,Female,42,28,20,39,19,Silly practical mistakes,3
21,Female,42,28,20,39,19,Trouble with pets,1
21,Female,42,28,20,39,19,Difficulties with friends,2
21,Male,43,37,29,27,30,Misplacing or losing things,3
21,Male,43,37,29,27,30,Silly practical mistakes,1
21,Male,43,37,29,27,30,Trouble with pets,3
21,Male,43,37,29,27,30,Difficulties with friends,5
22,Female,33,37,21,35,24,Misplacing or losing things,3
22,Female,33,37,21,35,24,Silly practical mistakes,2
22,Female,33,37,21,35,24,Trouble with pets,2
22,Female,33,37,21,35,24,Difficulties with friends,3
21,Female,39,31,22,30,32,Misplacing or losing things,5
21,Female,39,31,22,30,32,Silly practical mistakes,4
21,Female,39,31,22,30,32,Trouble with pets,5
21,Female,39,31,22,30,32,Difficulties with friends,5
20,Male,48,27,23,33,28,Misplacing or losing things,5
20,Male,48,27,23,33,28,Silly practical mistakes,4
20,Male,48,27,23,33,28,Trouble with pets,3
20,Male,48,27,23,33,28,Difficulties with friends,3
19,Female,38,32,30,33,25,Misplacing or losing things,4
19,Female,38,32,30,33,25,Silly practical mistakes,3
19,Female,38,32,30,33,25,Trouble with pets,3
19,Female,38,32,30,33,25,Difficulties with friends,2
21,Male,33,25,20,28,19,Misplacing or losing things,1
21,Male,33,25,20,28,19,Silly practical mistakes,2
21,Male,33,25,20,28,19,Trouble with pets,1
21,Male,33,25,20,28,19,Difficulties with friends,3
22,Male,32,31,27,35,23,Misplacing or losing things,2
22,Male,32,31,27,35,23,Silly practical mistakes,1
22,Male,32,31,27,35,23,Trouble with pets,1
22,Male,32,31,27,35,23,Difficulties with friends,1
