Age,Gender,O,C,E,A,N,Hassle,Severity
21,Male,31,27,17,33,24,Regrets over past decision/s,3
21,Male,31,27,17,33,24,Concerned about the meaning of life,4
21,Male,31,27,17,33,24,Being lonely,2
21,Male,31,27,17,33,24,Inability to express oneself,3
21,Male,31,27,17,33,24,Fear of rejection,4
21,Male,31,27,17,33,24,Trouble making decisions,3
21,Male,31,27,17,33,24,Physical appearance,2
21,Male,31,27,17,33,24,Not seeing people,3
21,Male,31,27,17,33,24,Not enough personal energy,3
21,Male,31,27,17,33,24,Concerns about getting ahead,1
21,Male,31,27,17,33,24,Fear of confrontation,2
21,Male,31,27,17,33,24,Wasting time,3
21,Female,40,27,20,18,27,Regrets over past decision/s,2
21,Female,40,27,20,18,27,Concerned about the meaning of life,1
21,Female,40,27,20,18,27,Being lonely,2
21,Female,40,27,20,18,27,Inability to express oneself,1
21,Female,40,27,20,18,27,Fear of rejection,2
21,Female,40,27,20,18,27,Trouble making decisions,3
21,Female,40,27,20,18,27,Physical appearance,3
21,Female,40,27,20,18,27,Not seeing people,2
21,Female,40,27,20,18,27,Not enough personal energy,1
21,Female,40,27,20,18,27,Concerns about getting ahead,3
21,Female,40,27,20,18,27,Fear of confrontation,1
21,Female,40,27,20,18,27,Wasting time,1
19,Female,30,21,19,32,24,Regrets over past decision/s,4
19,Female,30,21,19,32,24,Concerned about the meaning of life,2
19,Female,30,21,19,32,24,Being lonely,2
19,Female,30,21,19,32,24,Inability to express oneself,2
19,Female,30,21,19,32,24,Fear of rejection,5
19,Female,30,21,19,32,24,Trouble making decisions,4
19,Female,30,21,19,32,24,Physical appearance,4
19,Female,30,21,19,32,24,Not seeing people,2
19,Female,30,21,19,32,24,Not enough personal energy,3
19,Female,30,21,19,32,24,Concerns about getting ahead,3
19,Female,30,21,19,32,24,Fear of confrontation,3
19,Female,30,21,19,32,24,Wasting time,2
20,Female,34,25,13,26,26,Regrets over past decision/s,3
20,Female,34,25,13,26,26,Concerned about the meaning of life,4
20,Female,34,25,13,26,26,Being lonely,2
20,Female,34,25,13,26,26,Inability to express oneself,3
20,Female,34,25,13,26,26,Fear of rejection,4
20,Female,34,25,13,26,26,Trouble making decisions,2
20,Female,34,25,13,26,26,Physical appearance,3
20,Female,34,25,13,26,26,Not seeing people,1
20,Female,34,25,13,26,26,Not enough personal energy,1
20,Female,34,25,13,26,26,Concerns about getting ahead,2
20,Female,34,25,13,26,26,Fear of confrontation,4
20,Female,34,25,13,26,26,Wasting time,1
22,Female,31,29,30,34,25,Regrets over past decision/s,5
22,Female,31,29,30,34,25,Concerned about the meaning of life,5
22,Female,31,29,30,34,25,Being lonely,5
22,Female,31,29,30,34,25,Inability to express oneself,4
22,Female,31,29,30,34,25,Fear of rejection,5
22,Female,31,29,30,34,25,Trouble making decisions,5
22,Female,31,29,30,34,25,Physical appearance,4
22,Female,31,29,30,34,25,Not seeing people,4
22,Female,31,29,30,34,25,Not enough personal energy,3
22,Female,31,29,30,34,25,Concerns about getting ahead,4
22,Female,31,29,30,34,25,Fear of confrontation,4
22,Female,31,29,30,34,25,Wasting time,4
21,Female,39,33,31,31,26,Regrets over past decision/s,2
21,Female,39,33,31,31,26,Concerned about the meaning of life,1
21,Female,39,33,31,31,26,Being lonely,1
21,Female,39,33,31,31,26,Inability to express oneself,1
21,Female,39,33,31,31,26,Fear of rejection,2
21,Female,39,33,31,31,26,Trouble making decisions,1
21,Female,39,33,31,31,26,Physical appearance,2
21,Female,39,33,31,31,26,Not seeing people,2
21,Female,39,33,31,31,26,Not enough personal energy,1
21,Female,39,33,31,31,26,Concerns about getting ahead,1
21,Female,39,33,31,31,26,Fear of confrontation,1
21,Female,39,33,31,31,26,Wasting time,2
20,Female,40,26,23,25,28,Regrets over past decision/s,5
20,Female,40,26,23,25,28,Concerned about the meaning of life,3
20,Female,40,26,23,25,28,Being lonely,2
20,Female,40,26,23,25,28,Inability to express oneself,5
20,Female,40,26,23,25,28,Fear of rejection,5
20,Female,40,26,23,25,28,Trouble making decisions,4
20,Female,40,26,23,25,28,Physical appearance,3
20,Female,40,26,23,25,28,Not seeing people,2
20,Female,40,26,23,25,28,Not enough personal energy,3
20,Female,40,26,23,25,28,Concerns about getting ahead,5
20,Female,40,26,23,25,28,Fear of confrontation,2
20,Female,40,26,23,25,28,Wasting time,2
21,Female,34,31,20,28,26,Regrets over past decision/s,4
21,Female,34,31,20,28,26,Concerned about the meaning of life,2
21,Female,34,31,20,28,26,Being lonely,2
21,Female,34,31,20,28,26,Inability to express oneself,3
21,Female,34,31,20,28,26,Fear of rejection,3
21,Female,34,31,20,28,26,Trouble making decisions,3
21,Female,34,31,20,28,26,Physical appearance,3
21,Female,34,31,20,28,26,Not seeing people,2
21,Female,34,31,20,28,26,Not enough personal energy,3
21,Female,34,31,20,28,26,Concerns about getting ahead,3
21,Female,34,31,20,28,26,Fear of confrontation,4
21,Female,34,31,20,28,26,Wasting time,3
18,Female,43,39,21,31,25,Regrets over past decision/s,3
18,Female,43,39,21,31,25,Concerned about the meaning of life,5
18,Female,43,39,21,31,25,Being lonely,2
18,Female,43,39,21,31,25,Inability to express oneself,3
18,Female,43,39,21,31,25,Fear of rejection,4
18,Female,43,39,21,31,25,Trouble making decisions,3
18,Female,43,39,21,31,25,Physical appearance,3
18,Female,43,39,21,31,25,Not seeing people,2
18,Female,43,39,21,31,25,Not enough personal energy,3
18,Female,43,39,21,31,25,Concerns about getting ahead,3
18,Female,43,39,21,31,25,Fear of confrontation,1
18,Female,43,39,21,31,25,Wasting time,5
21,Male,38,25,24,36,19,Regrets over past decision/s,1
21,Male,38,25,24,36,19,Concerned about the meaning of life,1
21,Male,38,25,24,36,19,Being lonely,1
21,Male,38,25,24,36,19,Inability to express oneself,1
21,Male,38,25,24,36,19,Fear of rejection,1
21,Male,38,25,24,36,19,Trouble making decisions,1
21,Male,38,25,24,36,19,Physical appearance,2
21,Male,38,25,24,36,19,Not seeing people,1
21,Male,38,25,24,36,19,Not enough personal energy,2
21,Male,38,25,24,36,19,Concerns about getting ahead,2
21,Male,38,25,24,36,19,Fear of confrontation,1
21,Male,38,25,24,36,19,Wasting time,1
22,Male,31,26,21,26,30,Regrets over past decision/s,3
22,Male,31,26,21,26,30,Concerned about the meaning of life,3
22,Male,31,26,21,26,30,Being lonely,1
22,Male,31,26,21,26,30,Inability to express oneself,2
22,Male,31,26,21,26,30,Fear of rejection,2
22,Male,31,26,21,26,30,Trouble making decisions,3
22,Male,31,26,21,26,30,Physical appearance,1
22,Male,31,26,21,26,30,Not seeing people,1
22,Male,31,26,21,26,30,Not enough personal energy,3
22,Male,31,26,21,26,30,Concerns about getting ahead,2
22,Male,31,26,21,26,30,Fear of confrontation,1
22,Male,31,26,21,26,30,Wasting time,1
21,Female,28,32,28,34,20,Regrets over past decision/s,2
21,Female,28,32,28,34,20,Concerned about the meaning of life,2
21,Female,28,32,28,34,20,Being lonely,3
21,Female,28,32,28,34,20,Inability to express oneself,3
21,Female,28,32,28,34,20,Fear of rejection,4
21,Female,28,32,28,34,20,Trouble making decisions,4
21,Female,28,32,28,34,20,Physical appearance,2
21,Female,28,32,28,34,20,Not seeing people,3
21,Female,28,32,28,34,20,Not enough personal energy,4
21,Female,28,32,28,34,20,Concerns about getting ahead,3
21,Female,28,32,28,34,20,Fear of confrontation,3
21,Female,28,32,28,34,20,Wasting time,3
21,Female,42,28,20,39,19,Regrets over past decision/s,1
21,Female,42,28,20,39,19,Concerned about the meaning of life,2
21,Female,42,28,20,39,19,Being lonely,2
21,Female,42,28,20,39,19,Inability to express oneself,2
21,Female,42,28,20,39,19,Fear of rejection,2
21,Female,42,28,20,39,19,Trouble making decisions,3
21,Female,42,28,20,39,19,Physical appearance,1
21,Female,42,28,20,39,19,Not seeing people,2
21,Female,42,28,20,39,19,Not enough personal energy,3
21,Female,42,28,20,39,19,Concerns about getting ahead,3
21,Female,42,28,20,39,19,Fear of confrontation,3
21,Female,42,28,20,39,19,Wasting time,4
21,Male,43,37,29,27,30,Regrets over past decision/s,2
21,Male,43,37,29,27,30,Concerned about the meaning of life,1
21,Male,43,37,29,27,30,Being lonely,3
