Age,Gender,O,C,E,A,N,Severity
21,Male,31,27,17,33,24,2
21,Female,40,27,20,18,27,1
19,Female,30,21,19,32,24,3
20,Female,34,25,13,26,26,4
22,Female,31,29,30,34,25,4
21,Female,39,33,31,31,26,3
20,Female,40,26,23,25,28,2
21,Female,34,31,20,28,26,3
18,Female,43,39,21,31,25,3
21,Male,38,25,24,36,19,1
22,Male,31,26,21,26,30,3
21,Female,28,32,28,34,20,3
21,Female,42,28,20,39,19,2
21,Male,43,37,29,27,30,2
22,Female,33,37,21,35,24,3
21,Female,39,31,22,30,32,3
20,Male,48,27,23,33,28,3
19,Female,38,32,30,33,25,4
21,Male,33,25,20,28,19,1
22,Male,32,31,27,35,23,4
21,Male,38,29,22,27,27,4
21,Female,33,29,31,29,30,1
22,Female,32,42,25,37,18,4
21,Male,35,30,21,31,26,2
20,Genderfluid,39,31,28,28,27,4
19,Female,31,32,25,29,29,4
19,Female,37,32,31,31,31,1
19,Female,36,33,28,28,23,2
