Age,Gender,O,C,E,A,N,Hassle,Severity
21,Male,31,27,17,33,24,Misplacing or losing things,2
21,Male,31,27,17,33,24,Silly practical mistakes,1
21,Male,31,27,17,33,24,Trouble with pets,3
21,Male,31,27,17,33,24,Difficulties with friends,4
21,Male,31,27,17,33,24,Regrets over past decision/s,3
21,Male,31,27,17,33,24,Concerned about the meaning of life,4
21,Male,31,27,17,33,24,Being lonely,2
21,Male,31,27,17,33,24,Inability to express oneself,3
21,Male,31,27,17,33,24,Fear of rejection,4
21,Male,31,27,17,33,24,Trouble making decisions,3
21,Male,31,27,17,33,24,Physical appearance,2
21,Male,31,27,17,33,24,Not seeing people,3
21,Male,31,27,17,33,24,Troubling thoughts about one’s future,4
21,Male,31,27,17,33,24,Not enough personal energy,3
21,Male,31,27,17,33,24,Concerns about getting ahead,1
21,Male,31,27,17,33,24,Fear of confrontation,2
21,Male,31,27,17,33,24,Wasting time,3
21,Male,31,27,17,33,24,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
21,Male,31,27,17,33,24,Not enough money for wants (entertainment and recreation),3
21,Male,31,27,17,33,24,Concerns about owing money,4
21,Male,31,27,17,33,24,Concerns about money for emergencies,4
21,Male,31,27,17,33,24,Financial security,4
21,Male,31,27,17,33,24,Not enough time to do things one needs to,2
21,Male,31,27,17,33,24,Too many responsibilities,4
21,Male,31,27,17,33,24,Not getting enough rest,2
21,Male,31,27,17,33,24,Too many interruptions,1
21,Male,31,27,17,33,24,Not enough time for entertainment and recreation,3
21,Male,31,27,17,33,24,Too many meetings,2
21,Male,31,27,17,33,24,Social obligations,2
21,Male,31,27,17,33,24,Concerns about meeting high standards,4
21,Male,31,27,17,33,24,Noise,1
21,Male,31,27,17,33,24,Pollution,2
21,Male,31,27,17,33,24,Crime,4
21,Male,31,27,17,33,24,Traffic,3
21,Male,31,27,17,33,24,Concerns about news events,2
21,Male,31,27,17,33,24,Rising prices of common goods,4
21,Male,31,27,17,33,24,Concerns about accidents,3
21,Male,31,27,17,33,24,Yardwork or outside home maintenance,1
21,Male,31,27,17,33,24,Overloaded with family responsibilities,2
21,Male,31,27,17,33,24,Home maintenance (inside),1
21,Male,31,27,17,33,24,Concerns about medical treatment,4
21,Male,31,27,17,33,24,Physical illness,3
21,Male,31,27,17,33,24,Side effects of medication,1
21,Male,31,27,17,33,24,Concerns about health in general,3
21,Male,31,27,17,33,24,Concerns about bodily functions,3
21,Male,31,27,17,33,24,Dissatisfaction with academic performance,3
21,Male,31,27,17,33,24,Challenges with instructors,2
21,Male,31,27,17,33,24,Discontent with current academic responsibilities,4
21,Male,31,27,17,33,24,Concerns regarding academic transitions,2
21,Male,31,27,17,33,24,Difficulties with peers or classmates,3
21,Male,31,27,17,33,24,Challenges in managing group projects,3
21,Male,31,27,17,33,24,Getting late to class,1
21,Female,40,27,20,18,27,Misplacing or losing things,3
21,Female,40,27,20,18,27,Silly practical mistakes,2
21,Female,40,27,20,18,27,Trouble with pets,1
21,Female,40,27,20,18,27,Difficulties with friends,2
21,Female,40,27,20,18,27,Regrets over past decision/s,2
21,Female,40,27,20,18,27,Concerned about the meaning of life,1
21,Female,40,27,20,18,27,Being lonely,2
21,Female,40,27,20,18,27,Inability to express oneself,1
21,Female,40,27,20,18,27,Fear of rejection,2
21,Female,40,27,20,18,27,Trouble making decisions,3
21,Female,40,27,20,18,27,Physical appearance,3
21,Female,40,27,20,18,27,Not seeing people,2
21,Female,40,27,20,18,27,Troubling thoughts about one’s future,3
21,Female,40,27,20,18,27,Not enough personal energy,1
21,Female,40,27,20,18,27,Concerns about getting ahead,3
21,Female,40,27,20,18,27,Fear of confrontation,1
21,Female,40,27,20,18,27,Wasting time,1
21,Female,40,27,20,18,27,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
21,Female,40,27,20,18,27,Not enough money for wants (entertainment and recreation),1
21,Female,40,27,20,18,27,Concerns about owing money,1
21,Female,40,27,20,18,27,Concerns about money for emergencies,1
21,Female,40,27,20,18,27,Financial security,1
21,Female,40,27,20,18,27,Not enough time to do things one needs to,1
21,Female,40,27,20,18,27,Too many responsibilities,2
21,Female,40,27,20,18,27,Not getting enough rest,3
